EventID,Edep_MeV,Energy_keV,#PE,#NoisePE,SignalPE
365786,0.8609913742425023,800,529,145,384
365790,0.861044827268632,800,538,146,392
365792,0.5604793556888268,800,338,75,263
365799,0.5895847812884075,800,346,78,268
365802,0.8612951625244533,800,521,132,389
365804,0.8604906444633303,800,511,130,381
365807,0.052000425518240245,800,30,4,26
365813,0.21464091475324942,800,113,29,84
365815,0.3836630500910498,800,192,48,144
365816,0.21285104924186654,800,122,26,96
365818,0.8607377349792119,800,492,114,378
366380,0.19598435234254566,800,93,17,76
366381,0.8607340810545397,800,502,127,375
366384,0.8614997632247648,800,521,133,388
366386,0.8608085432634097,800,484,117,367
366387,0.16864158803145707,800,96,24,72
366390,0.8605779423269488,800,528,135,393
366391,0.8608312681077593,800,475,105,370
366394,0.3711568388203086,800,234,53,181
366397,0.8607015002694121,800,468,111,357
366398,0.8606271390335296,800,480,108,372
366404,0.003723056824245282,800,6,1,5
366405,0.5664868033140305,800,361,90,271
366406,0.46872620426623773,800,269,65,204
366407,0.8040080403557007,800,474,106,368
366408,0.8599944875696978,800,501,127,374
366413,0.8607930337318084,800,490,112,378
366414,0.8603939547866477,800,503,122,381
366416,0.8617786078768519,800,502,101,401
366419,0.07130737418259613,800,30,7,23
366421,0.33319050437138975,800,182,45,137
366422,0.860623955335345,800,515,124,391
366423,0.8609968972357402,800,517,120,397
366426,0.27011436463842553,800,159,30,129
366427,0.8612470112573519,800,487,143,344
366433,0.8607001526230622,800,468,94,374
366437,0.86042352179868,800,530,135,395
366438,0.3244732013209407,800,220,57,163
366440,0.10496515065464279,800,58,18,40
367362,0.5514170596224195,800,285,63,222
367363,0.8607036676175314,800,474,104,370
367364,0.3589387875573816,800,218,57,161
367365,0.1494415012293726,800,81,22,59
367367,0.8609131106240014,800,536,138,398
367370,0.8603638661856918,800,507,124,383
367371,0.8611492564645868,800,458,124,334
367376,0.42082030679712557,800,252,65,187
367378,0.18498715459654674,800,98,29,69
367384,0.1413496625467819,800,91,19,72
367385,0.03709777062297852,800,25,9,16
367387,0.8602073795496049,800,530,116,414
367391,0.12910910056654012,800,69,18,51
367392,0.578136924868993,800,368,89,279
367396,0.8603612733387769,800,435,80,355
367397,0.5829416801187087,800,311,70,241
367398,0.3211923920340231,800,172,33,139
367399,0.8612802259146715,800,493,143,350
367402,0.8614040538127905,800,505,134,371
367404,0.35055558877491383,800,218,52,166
367405,0.8609735411069168,800,506,110,396
367407,0.8599784798722919,800,554,132,422
367409,0.0685791771236684,800,43,13,30
367410,0.8605642588956649,800,515,95,420
367411,0.8609303541784198,800,454,94,360
367412,0.8607944956323765,800,523,138,385
367413,0.8603055680662846,800,423,91,332
367414,0.04056902034085127,800,29,9,20
367417,0.6663091329375826,800,383,93,290
367423,0.8607152012721132,800,512,124,388
367424,0.022179117860698164,800,11,2,9
367425,0.8608414514978979,800,490,120,370
367426,0.8611506839594119,800,487,123,364
367427,0.24419928296912682,800,178,61,117
368130,0.6104616929178859,800,375,100,275
368132,0.8614135289146775,800,437,105,332
368136,0.8605783668273463,800,488,128,360
368141,0.8607117881395625,800,472,96,376
368143,0.8605114143146105,800,516,127,389
368145,0.8606568560511514,800,527,126,401
368147,0.8603593407219696,800,540,145,395
368148,0.6184806590637976,800,428,114,314
368149,0.8609553229141036,800,535,139,396
368150,0.8609784244473011,800,539,142,397
368151,0.861304080700608,800,518,137,381
368153,0.040864140844195,800,29,8,21
368155,0.8606891570949159,800,493,112,381
368158,0.8612780479852016,800,516,143,373
368159,0.8599680616393596,800,529,144,385
368162,0.14054302478955258,800,101,27,74
368164,0.6303802763811154,800,346,72,274
368165,0.8603913662397872,800,529,124,405
368166,0.8605557835894513,800,540,126,414
368168,0.12543828463552098,800,101,33,68
368169,0.5108303313717804,800,278,66,212
368171,0.8609306683482846,800,542,132,410
368172,0.8611998004549929,800,473,129,344
368173,0.40273068813150764,800,223,55,168
368175,0.25841247888281177,800,157,40,117
368176,0.8598136386706168,800,505,103,402
368179,0.277391197426238,800,156,34,122
368181,0.8615206740938127,800,572,174,398
368183,0.860260265295209,800,473,105,368
368185,0.8600628680735323,800,506,134,372
368187,0.860987920766625,800,504,113,391
368188,0.3777177687008187,800,233,70,163
368191,0.22184679155240397,800,151,43,108
368192,0.4862092183773981,800,305,66,239
368195,0.861133993072578,800,500,130,370
368197,0.611737181652659,800,352,78,274
368198,0.3533554044277156,800,192,52,140
369113,0.06394347701461109,800,31,10,21
369115,0.8608378582715177,800,508,97,411
369120,0.49475295943753755,800,321,93,228
